Dataset names,GMMN,RCGAN,TimeGAN,SigCWGAN,TimeVQVAE.mean,TimeVQVAE.std
ACSF1,74.3,98.3,81.3,nan,27.1,0.8
Adiac,98.2,54.3,45.1,nan,7.8,0.9
AllGestureWiimoteX,180.7,nan,nan,nan,3.8,0.7
AllGestureWiimoteY,23.5,nan,nan,660.4,3.0,0.5
AllGestureWiimoteZ,nan,2.8,7.9,278.9,1.8,0.2
ArrowHead,8.1,15.5,22.2,nan,2.0,0.3
Beef,215.2,36,18.3,nan,1.8,0.2
BeetleFly,246.4,348.5,nan,nan,2.1,1.2
BirdChicken,9.9,8.5,7.6,735.5,0.3,0.1
BME,77.6,179.6,140.1,nan,23.9,5.7
Car,101.5,579.5,186.1,nan,2.6,0.4
CBF,147.1,483.9,5.5,24.4,2.3,0.4
Chinatown,27.3,70.4,59.9,25.8,5.5,0.9
ChlorineConcentration,41.6,7.4,7.1,132.4,1.1,0.1
CinCECGTorso,nan,172.3,57,nan,7.7,1.5
Coffee,16.2,18.1,nan,nan,0.3,0.2
Computers,29.1,nan,nan,19.8,3.5,0.4
CricketX,115.8,404.8,23,26.9,3.0,0.5
CricketY,33,nan,nan,17.6,3.0,0.4
CricketZ,60.1,105.3,14.4,19.8,4.0,0.3
Crop,80.7,14.9,18.7,35.3,3.9,0.7
DiatomSizeReduction,138.6,232.9,88.7,nan,12.8,1.4
DistalPhalanxOutlineAgeGroup,13.9,9,110.6,nan,6.3,1.0
DistalPhalanxOutlineCorrect,9.2,12,16,50.4,1.8,0.3
DistalPhalanxTW,16.8,19.2,21.3,nan,13.2,1.5
DodgerLoopDay,56.8,429.9,30.1,14.4,1.9,0.2
DodgerLoopGame,44.8,nan,21.6,63.4,5.9,0.9
DodgerLoopWeekend,9.6,273.2,16.1,14.7,6.2,1.1
Earthquakes,nan,nan,nan,5.4,1.6,0.5
ECG200,3,2.8,2.7,20.6,1.9,0.3
ECG5000,26.6,4.5,35.2,55.9,0.7,0.0
ECGFiveDays,15,22.3,7.1,523.2,0.6,0.2
ElectricDevices,37.1,151.9,79.9,105.5,6.8,1.1
EOGHorizontalSignal,287.8,47.3,95.5,nan,3.5,0.6
EOGVerticalSignal,238.1,457.7,100.6,nan,6.8,1.2
EthanolLevel,19.4,15.7,18,nan,0.2,0.2
FaceAll,42.4,10.3,nan,33,4.4,0.0
FaceFour,18.6,65,56.5,26.5,3.6,1.3
FacesUCR,39.7,7.3,20.6,39.7,3.2,0.4
FiftyWords,nan,27.7,81.7,821.9,9.7,1.5
Fish,nan,36.3,47.4,nan,11.5,0.1
FordA,3.6,178,nan,nan,3.0,0.4
FordB,nan,45.6,nan,nan,1.4,0.6
FreezerRegularTrain,56,41.6,27.6,176.9,7.3,1.3
FreezerSmallTrain,49.3,32,42.7,109.6,9.5,0.7
Fungi,48.4,86,82.9,nan,2.1,0.5
GestureMidAirD1,nan,nan,nan,nan,9.9,5.1
GestureMidAirD2,nan,nan,306.8,nan,3.8,0.5
GestureMidAirD3,214.7,nan,nan,nan,46.4,19.1
GesturePebbleZ1,163.4,29.5,10.6,26.2,3.0,2.3
GesturePebbleZ2,16.7,350.8,22.3,49.9,3.7,1.1
GunPoint,16,8.8,3.5,nan,0.8,0.4
GunPointAgeSpan,314.7,19.7,267.3,nan,1.1,0.5
GunPointMaleVersusFemale,nan,44.6,237.5,215.4,0.6,0.3
GunPointOldVersusYoung,14.1,nan,13.2,nan,0.3,0.1
Ham,nan,43.5,27.4,427,0.6,0.2
HandOutlines,9.4,3.7,1.3,nan,0.1,0.0
Haptics,nan,nan,nan,nan,2.5,0.2
Herring,35,3.9,75.8,nan,0.5,0.1
HouseTwenty,26.6,nan,38,100.3,4.8,2.7
InlineSkate,96,143.3,119.5,nan,13.3,5.0
InsectEPGRegularTrain,7.3,28.5,0.9,0.3,2.5,1.0
InsectEPGSmallTrain,121.2,113.5,125.9,80.8,3.6,3.3
InsectWingbeatSound,14.5,6.2,132.3,nan,9.9,0.7
ItalyPowerDemand,5.7,57.5,5.8,4.6,1.6,0.4
LargeKitchenAppliances,8.3,47.3,31.8,281,0.9,0.3
Lightning2,19.5,8.6,71.7,162.3,1.2,0.4
Lightning7,79.2,78.6,27,92.1,1.1,0.2
Mallat,nan,11.4,nan,nan,1.1,0.2
Meat,134.7,18.2,nan,nan,7.7,3.8
MedicalImages,20.9,24,nan,55.3,3.5,0.4
MelbournePedestrian,66.6,35.5,62.5,90.1,2.4,0.9
MiddlePhalanxOutlineAgeGroup,18.7,12.6,13.8,590.2,20.0,1.6
MiddlePhalanxOutlineCorrect,7.2,21.2,162.3,535.4,1.2,0.4
MiddlePhalanxTW,62.2,27.4,19.8,nan,3.3,0.5
MixedShapesRegularTrain,379,412.2,nan,nan,34.1,6.5
MixedShapesSmallTrain,20.6,13.3,262.1,nan,7.6,1.8
MoteStrain,5.6,5.9,4,13.9,1.5,0.3
NonInvasiveFetalECGThorax1,438.5,nan,nan,nan,16.0,2.8
NonInvasiveFetalECGThorax2,126.8,117.9,150,nan,30.6,13.9
OliveOil,9.8,9.5,9.9,nan,1.7,0.1
OSULeaf,nan,nan,nan,nan,13.2,0.9
PhalangesOutlinesCorrect,1.9,3,2.3,73.4,0.7,0.1
Phoneme,nan,nan,nan,nan,12.1,0.4
PickupGestureWiimoteZ,275.6,380.9,nan,116,2.1,0.2
PigAirwayPressure,111.2,188.5,642.6,274.4,38.1,11.9
PigArtPressure,291.4,nan,nan,80.3,72.4,13.3
PigCVP,107.6,nan,nan,343.3,57.7,9.7
PLAID,797.4,nan,335.9,nan,552.8,474.5
Plane,39.2,38.9,36.2,nan,6.6,0.5
PowerCons,18.3,15,16.5,30,1.0,0.4
ProximalPhalanxOutlineAgeGroup,73.2,93.9,22.1,nan,0.4,0.2
ProximalPhalanxOutlineCorrect,3.7,1.7,13.8,nan,0.4,0.2
ProximalPhalanxTW,60.8,24.2,16.2,nan,2.8,0.4
RefrigerationDevices,nan,nan,nan,9.2,16.2,3.6
Rock,nan,nan,nan,23.5,6.0,3.1
ScreenType,32.7,nan,30.9,28.4,6.3,0.8
SemgHandGenderCh2,14.4,nan,nan,69.9,4.6,0.2
SemgHandMovementCh2,164.6,71.8,199.1,59.4,14.1,0.3
SemgHandSubjectCh2,37,nan,nan,108.1,29.6,2.3
